pmid,analytic_method,experiment_name,biomarker_id,biomarker_id_origin,biomarker_long_name,biomarker_short_name,original_name,original_value,association_name,association_value,association_unit,95% CI,se,association_p_value,association_p_qualifier,association_p_value_unit,association_p_value_raw,association_p_value_raw_qualifier,association_p_value_raw_unit,concept_id,concept_id_description
31593240,31593240.1.1,,HMDB01348,Human Metabolome Database,C18:0 Sphingomyelins,C18:0 SM,Odds Ratio,2.1,Odds Ratio,2.1,Q90 v Q10,"(1.26, 3.49)",,0.08,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB10169,Human Metabolome Database,C16:0 Sphingomyelins,C16:0 SM,Odds Ratio,2.06,Odds Ratio,2.06,Q90 v Q10,"(1.19, 3.56)",,0.17,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,NA,,Sphingomyelins Sum,SM Sum,Odds Ratio,1.97,Odds Ratio,1.97,Q90 v Q10,"(1.16, 3.32)",,0.2,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB04949,Human Metabolome Database,C16:0 Ceramide,C16:0 CER,Odds Ratio,1.95,Odds Ratio,1.95,Q90 v Q10,"(1.16, 3.30)",,0.21,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB07973*,Human Metabolome Database,C34:2 Phosphatidylcholines,C34:2 PC,Odds Ratio,1.82,Odds Ratio,1.82,Q90 v Q10,"(1.08, 3.06)",,0.36,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB08047*,Human Metabolome Database,C38:3 Phosphatidylcholines,C38:3 PC,Odds Ratio,1.67,Odds Ratio,1.67,Q90 v Q10,"(1.01, 2.76)",,0.55,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB12097,Human Metabolome Database,C14:0 Sphingomyelins,C14:0 SM,Odds Ratio,1.65,Odds Ratio,1.65,Q90 v Q10,"(1.00, 2.72)",,0.6,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB12104*,Human Metabolome Database,C22:1 Sphingomyelins,C22:1 SM,Odds Ratio,1.65,Odds Ratio,1.65,Q90 v Q10,"(0.98, 2.77)",,0.64,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,HMDB12102,Human Metabolome Database,C20:0 Sphingomyelins,C20:0 SM,Odds Ratio,1.6,Odds Ratio,1.6,Q90 v Q10,"(0.97, 2.63)",,0.66,,,,,,C56,Ovarian Cancer
31593240,31593240.1.1,,NA,,C16:1 Sphingomyelins,C16:1 SM,Odds Ratio,1.44,Odds Ratio,1.44,Q90 v Q10,"(0.86, 2.41)",,0.93,,,,,,C56,Ovarian Cancer
