pmid,analytic_method,experiment_name,biomarker_id,biomarker_id_origin,biomarker_long_name,biomarker_short_name,original_name,original_value,association_name,association_value,association_unit,95% CI,se,association_p_value,association_p_value_qualifier,association_p_value_unit...17,association_p_value_raw,association_p_value_raw_qualifier,association_p_value_unit...20,concept_id,concept_id_description
33803340,33803340.1.1,,X43802,Metabolon,Guanidinoacetate,Guanidinoacetate,,,Odds Ratio,1.23,,"(1.08, 1.41)",,0.226,,trend,0.002339251,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X1567,Metabolon,Vanillylmandelate (Vma),Vanillylmandelate (Vma),,,Odds Ratio,1.28,,"(1.12, 1.48)",,0.165,,trend,3.89E-04,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32445,Metabolon,3-Methylxanthine,3-Methylxanthine,,,Odds Ratio,0.81,,"(0.72, 0.92)",,0.165,,trend,0.001096988,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57554,Metabolon,2'-O-Methylcytidine,2'-O-Methylcytidine,,,Odds Ratio,1.21,,"(1.07, 1.38)",,0.226,,trend,0.003105542,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X42092,Metabolon,N-Palmitoylglycine,N-Palmitoylglycine,,,Odds Ratio,1.27,,"(1.11, 1.45)",,0.165,,trend,3.54E-04,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32586,Metabolon,"Bilirubin (E,E)","Bilirubin (E,E)",,,Odds Ratio,1.27,,"(1.1, 1.46)",,0.165,,trend,0.001284155,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X43807,Metabolon,"Bilirubin (Z,Z)","Bilirubin (Z,Z)",,,Odds Ratio,1.2,,"(1.05, 1.37)",,0.267,,trend,0.006678178,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X35160,Metabolon,Oleoylcarnitine (C18:1),Oleoylcarnitine (C18:1),,,Odds Ratio,1.25,,"(1.1, 1.44)",,0.165,,trend,9.55E-04,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62918,Metabolon,Tetradecadienedioate (C14:2-Dc),Tetradecadienedioate (C14:2-Dc),,,Odds Ratio,1.22,,"(1.07, 1.38)",,0.226,,trend,0.002310845,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32562,Metabolon,Pregnenediol Disulfate (C21H34O8S2),Pregnenediol Disulfate (C21H34O8S2),,,Odds Ratio,1.26,,"(1.09, 1.47)",,0.226,,trend,0.002546553,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X601,Metabolon,Dihydroorotate,Dihydroorotate,,,Odds Ratio,1.24,,"(1.09, 1.42)",,0.165,,trend,0.001160584,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X18392,Metabolon,Theobromine,Theobromine,,,Odds Ratio,0.86,,"(0.76, 0.97)",,0.34,,trend,0.014279275,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57664,Metabolon,N-Oleoylserine,N-Oleoylserine,,,Odds Ratio,1.2,,"(1.05, 1.35)",,0.239,,trend,0.005162581,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62921,Metabolon,Pregnenetriol Disulfate,Pregnenetriol Disulfate,,,Odds Ratio,1.27,,"(1.1, 1.46)",,0.165,,trend,0.001306722,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X34390,Metabolon,7-Methylxanthine,7-Methylxanthine,,,Odds Ratio,0.86,,"(0.76, 0.97)",,0.335,,trend,0.013454894,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X47886,Metabolon,"Bilirubin (E,Z Or Z,E)","Bilirubin (E,Z Or Z,E)",,,Odds Ratio,1.16,,"(1.02, 1.33)",,0.389,,trend,0.02193017,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X46223,Metabolon,Linoleoylcarnitine (C18:2),Linoleoylcarnitine (C18:2),,,Odds Ratio,1.21,,"(1.06, 1.38)",,0.239,,trend,0.005105086,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X43258,Metabolon,Acisoga,Acisoga,,,Odds Ratio,1.21,,"(1.07, 1.38)",,0.226,,trend,0.002919356,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X52434,Metabolon,Palmitoyl Dihydrosphingomyelin (D18:0/16:0),Palmitoyl Dihydrosphingomyelin (D18:0/16:0),,,Odds Ratio,1.18,,"(1.04, 1.35)",,0.335,,trend,0.01241054,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X606,Metabolon,Uridine,Uridine,,,Odds Ratio,1.21,,"(1.06, 1.38)",,0.239,,trend,0.004208295,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X15443,Metabolon,Glucuronate,Glucuronate,,,Odds Ratio,0.83,,"(0.73, 0.95)",,0.246,,trend,0.005829848,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X39732,Metabolon,N-Oleoyltaurine,N-Oleoyltaurine,,,Odds Ratio,1.2,,"(1.06, 1.37)",,0.239,,trend,0.004937761,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57564,Metabolon,Perfluorooctanesulfonate (Pfos),Perfluorooctanesulfonate (Pfos),,,Odds Ratio,0.88,,"(0.77, 0.99)",,0.458,,trend,0.041432218,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62857,Metabolon,Dihydroferulic Acid Sulfate,Dihydroferulic Acid Sulfate,,,Odds Ratio,1.17,,"(1.03, 1.33)",,0.362,,trend,0.016732991,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57520,Metabolon,Dihomo-Linoleoylcarnitine (C20:2),Dihomo-Linoleoylcarnitine (C20:2),,,Odds Ratio,1.2,,"(1.05, 1.37)",,0.267,,trend,0.007000774,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X1769,Metabolon,Cortisone,Cortisone,,,Odds Ratio,1.15,,"(1.02, 1.3)",,0.428,,trend,0.028013115,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X1648,Metabolon,Serine,Serine,,,Odds Ratio,1.14,,"(1.01, 1.29)",,0.436,,trend,0.033671012,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32346,Metabolon,Glycochenodeoxycholate,Glycochenodeoxycholate,,,Odds Ratio,1.18,,"(1.04, 1.34)",,0.321,,trend,0.010492831,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X44681,Metabolon,Palmitoylcarnitine (C16),Palmitoylcarnitine (C16),,,Odds Ratio,1.22,,"(1.07, 1.39)",,0.226,,trend,0.003310322,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X53013,Metabolon,Glycosyl-N-Palmitoyl-Sphingosine (D18:1/16:0),Glycosyl-N-Palmitoyl-Sphingosine (D18:1/16:0),,,Odds Ratio,1.15,,"(1.01, 1.3)",,0.428,,trend,0.030715216,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X53223,Metabolon,Palmitoleoylcarnitine (C16:1),Palmitoleoylcarnitine (C16:1),,,Odds Ratio,1.21,,"(1.06, 1.38)",,0.239,,trend,0.005391336,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62277,Metabolon,Hydroxy-Cmpf,Hydroxy-Cmpf,,,Odds Ratio,0.83,,"(0.73, 0.94)",,0.234,,trend,0.003693654,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X61864,Metabolon,Dodecenedioate (C12:1-Dc),Dodecenedioate (C12:1-Dc),,,Odds Ratio,1.16,,"(1.02, 1.31)",,0.406,,trend,0.02426919,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62533,Metabolon,"(2,4 Or 2,5)-Dimethylphenol Sulfate","(2,4 Or 2,5)-Dimethylphenol Sulfate",,,Odds Ratio,0.85,,"(0.75, 0.97)",,0.34,,trend,0.014569453,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62071,Metabolon,Perfluorooctanoate (Pfoa),Perfluorooctanoate (Pfoa),,,Odds Ratio,0.86,,"(0.75, 0.99)",,0.428,,trend,0.030564188,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62309,Metabolon,N-Acetyl-Isoputreanine,N-Acetyl-Isoputreanine,,,Odds Ratio,1.16,,"(1.02, 1.32)",,0.372,,trend,0.019304797,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X63685,Metabolon,Decadienedioic Acid (C10:2-Dc),Decadienedioic Acid (C10:2-Dc),,,Odds Ratio,1.19,,"(1.05, 1.35)",,0.267,,trend,0.007522233,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X2132,Metabolon,Citrulline,Citrulline,,,Odds Ratio,1.13,,"(1, 1.28)",,0.458,,trend,0.046081046,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X42448,Metabolon,1-Stearoyl-2-Oleoyl-Gpe (18:0/18:1),1-Stearoyl-2-Oleoyl-Gpe (18:0/18:1),,,Odds Ratio,0.89,,"(0.79, 1)",,0.461,,trend,0.053505235,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X61877,Metabolon,Glucuronide Of C14H26O4 (2),Glucuronide Of C14H26O4 (2),,,Odds Ratio,0.85,,"(0.74, 0.97)",,0.335,,trend,0.01363153,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X63681,Metabolon,"3-Bromo-5-Chloro-2,6-Dihydroxybenzoic Acid","3-Bromo-5-Chloro-2,6-Dihydroxybenzoic Acid",,,Odds Ratio,0.9,,"(0.79, 1.02)",,0.555,,trend,0.101624244,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62922,Metabolon,Pregnenetriol Sulfate,Pregnenetriol Sulfate,,,Odds Ratio,1.23,,"(1.06, 1.44)",,0.267,,trend,0.007399133,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X46115,Metabolon,21-Hydroxypregnenolone Disulfate,21-Hydroxypregnenolone Disulfate,,,Odds Ratio,1.17,,"(1.02, 1.34)",,0.393,,trend,0.02268633,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X35136,Metabolon,5-Methyluridine (Ribothymidine),5-Methyluridine (Ribothymidine),,,Odds Ratio,1.15,,"(1, 1.31)",,0.458,,trend,0.043192062,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57517,Metabolon,Ximenoylcarnitine (C26:1),Ximenoylcarnitine (C26:1),,,Odds Ratio,1.19,,"(1.05, 1.36)",,0.289,,trend,0.008870656,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X52974,Metabolon,Glycochenodeoxycholate 3-Sulfate,Glycochenodeoxycholate 3-Sulfate,,,Odds Ratio,1.17,,"(1.03, 1.32)",,0.335,,trend,0.013407733,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32415,Metabolon,Docosadienoate (22:2N6),Docosadienoate (22:2N6),,,Odds Ratio,1.18,,"(1.03, 1.34)",,0.335,,trend,0.013529113,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X52673,Metabolon,1-(1-Enyl-Palmitoyl)-2-Arachidonoyl-Gpe (P-16:0/20:4),1-(1-Enyl-Palmitoyl)-2-Arachidonoyl-Gpe (P-16:0/20:4),,,Odds Ratio,0.88,,"(0.77, 1)",,0.461,,trend,0.054051404,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X62520,Metabolon,2-Naphthol Sulfate,2-Naphthol Sulfate,,,Odds Ratio,0.87,,"(0.76, 0.99)",,0.431,,trend,0.032124755,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X52447,Metabolon,1-Stearoyl-2-Arachidonoyl-Gpe (18:0/20:4),1-Stearoyl-2-Arachidonoyl-Gpe (18:0/20:4),,,Odds Ratio,0.89,,"(0.78, 1.01)",,0.463,,trend,0.061454717,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X3141,Metabolon,Betaine,Betaine,,,Odds Ratio,1.14,,"(0.99, 1.3)",,0.47,,trend,0.064899875,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X48258,Metabolon,1-Oleoyl-Gpc (18:1),1-Oleoyl-Gpc (18:1),,,Odds Ratio,1.12,,"(0.99, 1.27)",,0.502,,trend,0.079235389,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X32599,Metabolon,Glycocholenate Sulfate,Glycocholenate Sulfate,,,Odds Ratio,1.15,,"(1.01, 1.3)",,0.428,,trend,0.029422128,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X48429,Metabolon,Methyl-4-Hydroxybenzoate Sulfate,Methyl-4-Hydroxybenzoate Sulfate,,,Odds Ratio,0.85,,"(0.74, 0.97)",,0.364,,trend,0.017268838,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X63589,Metabolon,"3,5-Dichloro-2,6-Dihydroxybenzoic Acid","3,5-Dichloro-2,6-Dihydroxybenzoic Acid",,,Odds Ratio,0.91,,"(0.81, 1.04)",,0.645,,trend,0.164476833,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X64328,Metabolon,"2,4-Di-Tert-Butylphenol","2,4-Di-Tert-Butylphenol",,,Odds Ratio,1.2,,"(1.03, 1.39)",,0.372,,trend,0.018968485,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X35253,Metabolon,2-Palmitoyl-Gpc (16:0),2-Palmitoyl-Gpc (16:0),,,Odds Ratio,1.16,,"(1.02, 1.33)",,0.393,,trend,0.02305343,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X37198,Metabolon,"5Alpha-Pregnan-3Beta,20Alpha-Diol Disulfate","5Alpha-Pregnan-3Beta,20Alpha-Diol Disulfate",,,Odds Ratio,1.14,,"(1, 1.31)",,0.458,,trend,0.050575958,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X37209,Metabolon,"Androstenediol (3Alpha, 17Alpha) Monosulfate (3)","Androstenediol (3Alpha, 17Alpha) Monosulfate (3)",,,Odds Ratio,1.17,,"(1, 1.37)",,0.458,,trend,0.046236242,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X42574,Metabolon,Glycohyocholate,Glycohyocholate,,,Odds Ratio,1.12,,"(0.99, 1.27)",,0.47,,trend,0.068979715,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X52608,Metabolon,Linoleoyl Ethanolamide,Linoleoyl Ethanolamide,,,Odds Ratio,1.14,,"(1.01, 1.29)",,0.442,,trend,0.036951044,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X37506,Metabolon,Palmitoyl Sphingomyelin (D18:1/16:0),Palmitoyl Sphingomyelin (D18:1/16:0),,,Odds Ratio,1.14,,"(1, 1.29)",,0.458,,trend,0.050685218,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X528,Metabolon,Alpha-Ketoglutarate,Alpha-Ketoglutarate,,,Odds Ratio,1.19,,"(1.05, 1.35)",,0.272,,trend,0.007976651,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X3155,Metabolon,3-Ureidopropionate,3-Ureidopropionate,,,Odds Ratio,1.18,,"(1.02, 1.37)",,0.428,,trend,0.027637933,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X46537,Metabolon,Alpha-Hydroxyisovalerate,Alpha-Hydroxyisovalerate,,,Odds Ratio,1.2,,"(1.05, 1.38)",,0.289,,trend,0.009137298,,trend,C18,Colorectal Cancer
33803340,33803340.1.1,,X57814,Metabolon,(N(1) + N(8))-Acetylspermidine,(N(1) + N(8))-Acetylspermidine,,,Odds Ratio,1.18,,"(1.02, 1.36)",,0.389,,trend,0.021361301,,trend,C18,Colorectal Cancer
