pmid,analytic_method,experiment_name,biomarker_id,biomarker_long_name,biomarker_short_name,original_name,original_value,association_name,association_value,association_unit,X95..CI,se,association_p_value_unit...15,association_p_value,association_p_value_qualifier,association_p_value_unit...18,association_n_value...analysis_n_value.in.Analytic_Methods_Table.,concept_id,concept_id_description
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol ratio,S-HDL-C,Beta Coefficient,-0.4996713,NA,0.60673003,NA,"(0.55, 0.68)",0.05459385,NA,5.56E-20,NA,NA,118003,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol ratio,XL-HDL-CE,Beta Coefficient,-0.4642239,NA,0.62862278,NA,"(0.57, 0.69)",0.05105042,NA,9.60E-20,NA,NA,117101,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol ratio,S-HDL-CE,Beta Coefficient,-0.4759179,NA,0.6213145,NA,"(0.56, 0.69)",0.05314615,NA,3.40E-19,NA,NA,117957,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,IDL ratio,IDL-CE,Beta Coefficient,-0.4405552,NA,0.64367894,NA,"(0.58, 0.71)",0.05115378,NA,7.16E-18,NA,NA,117938,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-C,Beta Coefficient,-0.4479107,NA,0.63896176,NA,"(0.58, 0.71)",0.05294818,NA,2.69E-17,NA,NA,117597,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,IDL ratio,IDL-C,Beta Coefficient,-0.4016132,NA,0.66923959,NA,"(0.61, 0.74)",0.05055288,NA,1.95E-15,NA,NA,117817,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol ratio,S-HDL-PL,Beta Coefficient,0.51934861,NA,1.68093235,NA,"(1.48, 1.91)",0.06641043,NA,5.27E-15,NA,NA,118023,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-TG,Beta Coefficient,0.48056291,NA,1.61698437,NA,"(1.43, 1.83)",0.06184742,NA,7.84E-15,NA,NA,117319,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol ratio,M-LDL-TG,Beta Coefficient,0.45036923,NA,1.56889136,NA,"(1.39, 1.77)",0.06085521,NA,1.36E-13,NA,NA,117360,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol ratio,XL-HDL-C,Beta Coefficient,-0.4496194,NA,0.63787091,NA,"(0.56, 0.72)",0.06267644,NA,7.30E-13,NA,NA,117210,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol,S-HDL-CE,Beta Coefficient,-0.4722384,NA,0.62360485,NA,"(0.55, 0.71)",0.06747996,NA,2.59E-12,NA,NA,117978,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-CE,Beta Coefficient,-0.398022,NA,0.67164723,NA,"(0.6, 0.75)",0.05788613,NA,6.16E-12,NA,NA,117844,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-TG,Beta Coefficient,0.3974499,NA,1.48802525,NA,"(1.33, 1.67)",0.05877251,NA,1.36E-11,NA,NA,117840,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol,S-LDL-FC,Beta Coefficient,-0.442748,NA,0.64226904,NA,"(0.56, 0.73)",0.06635206,NA,2.51E-11,NA,NA,118023,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,IDL ratio,IDL-TG,Beta Coefficient,0.4204866,NA,1.52270233,NA,"(1.35, 1.72)",0.06311148,NA,2.69E-11,NA,NA,117420,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-FC,Beta Coefficient,-0.3181877,NA,0.7274662,NA,"(0.66, 0.8)",0.04828479,NA,4.40E-11,NA,NA,63752,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Albumin,Alb,Beta Coefficient,-0.3551976,NA,0.70103488,NA,"(0.63, 0.78)",0.05430469,NA,6.12E-11,NA,NA,117798,C90,Multiple Myeloma
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol,S-HDL-C,Beta Coefficient,-0.4456072,NA,0.6404353,NA,"(0.56, 0.73)",0.06821883,NA,6.49E-11,NA,NA,117975,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Albumin,Alb,Beta Coefficient,-0.3842944,NA,0.6809309,NA,"(0.61, 0.76)",0.05889843,NA,6.81E-11,NA,NA,117840,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol ratio,L-HDL-CE,Beta Coefficient,-0.3143657,NA,0.7302519,NA,"(0.66, 0.8)",0.04841078,NA,8.37E-11,NA,NA,117591,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-CE,Beta Coefficient,-0.367439,NA,0.69250554,NA,"(0.62, 0.78)",0.05756634,NA,1.74E-10,NA,NA,117998,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol,M-LDL-FC,Beta Coefficient,-0.4388826,NA,0.64475646,NA,"(0.56, 0.74)",0.06876807,NA,1.75E-10,NA,NA,118017,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol ratio,S-LDL-C,Beta Coefficient,-0.3440687,NA,0.70888024,NA,"(0.64, 0.79)",0.05434082,NA,2.43E-10,NA,NA,117818,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Monounsaturated Fatty Acid ratio,MUFA,Beta Coefficient,0.31614804,NA,1.37183333,NA,"(1.24, 1.52)",0.05100444,NA,5.70E-10,NA,NA,63711,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol ratio,S-LDL-TG,Beta Coefficient,0.38943131,NA,1.47614109,NA,"(1.3, 1.67)",0.06310858,NA,6.79E-10,NA,NA,117452,C22,Liver Cancer
